file,reason_count,reasons
train/00067cfb-5443fe39.txt,1,tiny_box
train/00067cfb-f1b91e3c.txt,1,tiny_box
train/00091078-cedbfea7.txt,1,tiny_box
train/000f157f-37797ff9.txt,1,tiny_box
train/00131ea7-624f538d.txt,1,tiny_box
train/00207869-046fa443.txt,1,tiny_box
train/00207869-902288d1.txt,1,tiny_box
train/00211b17-ad3e206b.txt,1,tiny_box
train/002685b6-856c17f7.txt,1,tiny_box
train/00268999-9f6d5823.txt,1,tiny_box
train/00268999-a4b8e39d.txt,1,tiny_box
train/002cd38e-ebe888e1.txt,1,tiny_box
train/00313a01-97de1f42.txt,1,tiny_box
train/0034a363-24f318c4.txt,1,tiny_box
train/0035afff-bd191d6a.txt,1,tiny_box
train/003c4a61-52588960.txt,1,tiny_box
train/004071a4-049b7b85.txt,1,tiny_box
train/00488a66-6c729bde.txt,1,tiny_box
train/00495359-27ce9c7e.txt,1,tiny_box
train/0052b279-87c692aa.txt,1,tiny_box
train/00589f25-4cf2b9e0.txt,1,tiny_box
train/005ee183-bcfab89f.txt,1,tiny_box
train/00618cec-a7f7e470.txt,1,tiny_box
train/0062298d-2d787502.txt,1,tiny_box
train/0062f18d-f8cd3a65.txt,1,tiny_box
train/0066b72f-974f6883.txt,2,extreme_aspect;tiny_box
train/006c0799-10697723.txt,1,tiny_box
train/006d6f8e-4759e8c1.txt,1,tiny_box
train/006fdb67-a1455b77.txt,1,tiny_box
train/0071d9c5-be7394cc.txt,1,tiny_box
train/007aeb45-96ce245e.txt,1,tiny_box
train/007c11bf-f6da335c.txt,1,tiny_box
train/007da0eb-e1f588e8.txt,1,tiny_box
train/007eddfc-f8a80310.txt,1,tiny_box
train/0081e27b-17bf4a9e.txt,1,tiny_box
train/0089bc2f-5f2d57d5.txt,1,tiny_box
train/008d2a0a-ac995caf.txt,1,tiny_box
train/008db5fb-223715d5.txt,1,tiny_box
train/009215e2-8500bd0b.txt,1,tiny_box
train/009215e2-d6d2d61b.txt,1,tiny_box
train/0096bcca-fc7d6d3c.txt,1,tiny_box
train/009b0eb2-bbef939f.txt,1,tiny_box
train/009b6a87-b15675e2.txt,1,tiny_box
train/009deddd-c8963379.txt,1,tiny_box
train/009deddd-d68ff1f7.txt,1,extreme_aspect
train/00a820ef-2b98dcf5.txt,1,tiny_box
train/00a820ef-d655700e.txt,1,tiny_box
train/00abf44e-04004ca0.txt,1,tiny_box
train/00c29c52-f9524f1e.txt,1,tiny_box
train/00c41a61-4ba25ad4.txt,1,extreme_aspect
train/00cef86b-204ea619.txt,1,tiny_box
train/00cef86b-d8d105b9.txt,1,tiny_box
train/00d18b13-52d3e4c4.txt,1,extreme_aspect
train/00d8d95a-47d98291.txt,1,tiny_box
train/00d9e313-038310a2.txt,1,tiny_box
train/00d9e313-926b6698.txt,1,tiny_box
train/00dc5030-237e7f71.txt,1,tiny_box
train/00de601c-858a8a8d.txt,1,tiny_box
train/00e100a8-a5e1ece9.txt,1,tiny_box
train/00f28fce-a799f8a1.txt,1,tiny_box
train/00f2b0d5-c84860fe.txt,1,tiny_box
train/00f42f6b-b1ca1f6c.txt,1,tiny_box
train/00f89335-2ef7949d.txt,2,extreme_aspect;tiny_box
train/0104eb19-162abfea.txt,1,tiny_box
train/01094b4f-27d47f20.txt,1,tiny_box
train/010b0600-47a9e3e0.txt,1,tiny_box
train/010fc651-6bcbfd89.txt,1,extreme_aspect
train/0111122b-276d22b9.txt,1,tiny_box
train/0111523e-a2170455.txt,1,tiny_box
train/01118704-2d838d7f.txt,1,tiny_box
train/011f8481-b14725fa.txt,1,extreme_aspect
train/011f8556-41affeb2.txt,1,tiny_box
train/0124dfa6-385f1b58.txt,1,tiny_box
train/0125b9f0-a8dec2ba.txt,1,tiny_box
train/0127cb3a-6be24a50.txt,1,tiny_box
train/0129ed1d-41528bb8.txt,1,tiny_box
